planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
PLASPPlanner-seq,numeric,numeric-domains,nlnp-fo-farmland,50,0,0.0,0,0,0,0,0,50,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,nlnp-fo-sailing,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,nlnp-hydropower,30,0,0.0,0,0,0,0,0,30,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,nlnp-rover,10,0,0.0,0,0,0,0,0,10,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,nlnp-settlers,25,0,0.0,0,0,0,0,0,25,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,nlnp-sugar,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,onlycraft-opt,20,1,5.0,1,17,1,1,0,0,0,0,18.5,181.2,5
PLASPPlanner-seq,numeric,numeric-domains,onlycraft-sat,20,1,5.0,1,15,4,0,0,0,0,0,21.3,179.2,5
PLASPPlanner-seq,numeric,numeric-domains,pancake,50,5,10.0,5,9,7,29,0,0,0,0,1.5,122.0,2
PLASPPlanner-seq,numeric,numeric-domains,pathwaysmetric,30,0,0.0,0,3,27,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,petri-net,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,petrobras,70,0,0.0,0,0,0,0,0,70,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,planes,13,1,7.7,1,1,0,11,0,0,0,0,1.1,121.3,1
PLASPPlanner-seq,numeric,numeric-domains,plant-watering,51,0,0.0,0,42,9,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,plotting,87,76,87.4,76,0,0,5,3,0,3,0,1758.8,283.8,6.0
PLASPPlanner-seq,numeric,numeric-domains,rainbowttles-opt,20,0,0.0,0,1,17,2,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,rainbowttles-sat,20,0,0.0,0,0,18,2,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,rover,20,0,0.0,0,0,19,1,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,rover-linear,10,0,0.0,0,0,10,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sailing,40,0,0.0,0,38,2,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sailing-wind-opt,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sailing-wind-sat,20,0,0.0,0,0,0,0,0,20,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,satellite,20,0,0.0,0,0,17,3,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_10_2-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_10_3-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_10_4-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_10_5-linear,1,0,0.0,0,1,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_2_2-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.4,122.0,4
PLASPPlanner-seq,numeric,numeric-domains,sec_clear_2_3-linear,1,1,100.0,1,0,0,0,0,0,0,0,1.3,121.4,4
