planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
ABAPlanner-ST,numeric,numeric-domains,sec_clear_10_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_2_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_2_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_2_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_2_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_3_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_3_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_3_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_3_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_4_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_4_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_4_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_4_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_5_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_5_3-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_5_4-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_5_5-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
ABAPlanner-ST,numeric,numeric-domains,sec_clear_6_2-linear,1,0,0.0,0,0,0,0,0,1,0,0,,,
